province_id,province_name,candidate_id,batik_name_id,batik_name_en,relationship_claim,primary_source_title,primary_source_owner,primary_source_url,source_published_at,accessed_at,secondary_source_url,verification_status,image_candidate_url,image_creator,image_license,image_license_url,image_verification_status,notes
jawa-tengah,Jawa Tengah,batik-solo,Batik Solo,Solo Batik,"Solo atau Surakarta merupakan salah satu kota penghasil batik. Laweyan merupakan kampung batik lama yang masih bertahan, sedangkan Kauman merupakan kawasan historis dengan produk batik tulis tradisional sebagai salah satu cirinya.",Kajian Arsitektur (Jurnal),Universitas Sebelas Maret (UNS),https://jurnal.uns.ac.id/Arsitektura/article/viewFile/15718/12652,,2026-09-04,https://jurnal.uns.ac.id/Arsitektura/article/view/109103,verified,,,,,not_searched,
di-yogyakarta,DI Yogyakarta,batik-jogja,Batik Yogyakarta,Yogyakarta Batik,Parang dan Kawung merupakan bagian dari tradisi batik Keraton Yogyakarta serta memiliki aturan penggunaan dan makna simbolis.,12 Motif Batik Larangan Keraton Yogyakarta,Kraton Yogyakarta,https://www.kratonjogja.id/en/kagungan-dalem/12-motif-batik-larangan-keraton-yogyakarta/,2018-03-19,2026-09-04,,verified,,,,,not_searched,
jawa-timur,Jawa Timur,batik-madura,Batik Madura,Madura Batik,"Batik Pamekasan (Madura) dikenal memiliki corak bebas dan warna berani, serta memiliki corak khusus seperti motif Sekar Jagad.",LKPJ Bupati Tahun Anggaran 2017,Pemerintah Kabupaten Pamekasan,https://ppid.pamekasankab.go.id/wp-content/uploads/2022/08/LKPJ-Bupati-Tahun-Anggaran-2017-compressed.pdf,,2026-09-04,https://pamekasankab.go.id/berita/622/akan-tampil-di-new-york-indonesian-fashion-week-mas-tamam-beberkan-corak-batik-pamekasan.html,verified,,,,,not_searched,
bali,Bali,batik-bali,Batik Bali,Bali Batik,"Penelitian Universitas Pendidikan Ganesha di Desa Batubulan, Kabupaten Gianyar, mendokumentasikan Batik Bali dengan teknik tulis dan cap serta motif yang mengambil unsur budaya, flora, dan fauna Bali.",BATIK BALI PADA INDUSTRI SARI AMERTA BATIK COLLECTION DI DESA BATUBULAN KECAMATAN SUKAWATI KABUPATEN GIANYAR,Universitas Pendidikan Ganesha (Jurnal BOSAPARIS),https://doi.org/10.23887/jjpkk.v9i2.22127,2019-11-26,2026-09-04,,verified,,,,,not_searched,
nusa-tenggara-barat,Nusa Tenggara Barat,batik-sasambo,Batik Sasambo,Sasambo Batik,"Batik Sasambo merupakan batik khas Nusa Tenggara Barat; nama Sasambo merujuk pada Sasak, Samawa, dan Mbojo.","BATIK SASAMBO DI DESA REMBITAN, PUJUT, LOMBOK TENGAH",Universitas Pendidikan Ganesha (Jurnal Pendidikan Seni Rupa Undiksha),https://doi.org/10.23887/jjpsp.v7i1.11399,2017-03-26,2026-09-04,https://ntbprov.go.id/post/ntb-juara-putri-batik-wagub-ntb-memotivasi-remaja-mencintai-batik-sasambo,verified,,,,,not_searched,
nusa-tenggara-timur,Nusa Tenggara Timur,batik-khas-tts,Batik Khas TTS,TTS Batik,"Program pengabdian masyarakat tahun 2018 di Desa Noenoni, Kabupaten Timor Tengah Selatan, mengembangkan Batik Khas TTS menggunakan teknik Batik dan motif yang terinspirasi dari motif lokal TTS.",Pengembangan Batik Khas TTS di Desa Noenoni,Jurnal SNP2M (PoliUPG),https://jurnal.poliupg.ac.id/index.php/snp2m/article/download/1453/1351,,2026-09-04,,verified,,,,,not_searched,Pengembangan batik modern di NTT. Bukan merupakan tradisi kuno atau tenun ikat.
kalimantan-barat,Kalimantan Barat,batik-corak-insang,Batik Corak Insang,Corak Insang Batik,Lampiran Perwali Pontianak Nomor 2 Tahun 2021 mencantumkan Pakaian Batik Corak Insang sebagai pakaian kerja hari Jumat di lingkungan Pemerintah Kota Pontianak.,Peraturan Walikota Pontianak Nomor 2 Tahun 2021 tentang Penggunaan Pakaian Kerja di Lingkungan Pemerintah Kota Pontianak,Pemerintah Kota Pontianak,https://jdih.pontianak.go.id/media/peraturan/2021/2021perwa002.pdf,2021-01-04,2026-09-04,,verified,,,,,not_searched,
kalimantan-tengah,Kalimantan Tengah,batik-benang-bintik,Batik Benang Bintik,Benang Bintik Batik,Batik Benang Bintik adalah sebutan untuk batik khas Kalimantan Tengah yang sering menampilkan motif-motif bernuansa budaya Dayak.,BENANG BINTIK - visitKALTENG,Dinas Kebudayaan dan Pariwisata Kalimantan Tengah,https://visit.kalteng.go.id/benang-bintik/,,2026-09-04,,verified,,,,,not_searched,"Portal resmi menyebut Benang Bintik sebagai batik khas Kalimantan Tengah, sementara bukti produksi lokal dengan teknik malam dan aset non-printing masih perlu dipastikan sebelum masuk cultures.json."
kalimantan-selatan,Kalimantan Selatan,,,,,,,,,2026-09-05,,no_verified_candidate,,,,,not_searched,"Buku Profil Industri Kalimantan Selatan 2024 (https://disperin.kalselprov.go.id/assets/images/dokumen/Buku_Profil_Final.pdf) mendokumentasikan Sasirangan dengan proses jahit/jelujur dan celup-rintang. Karena bahan perintang yang dijelaskan bukan malam/lilin, proyek ini tidak memasukkan Sasirangan sebagai kandidat Batik."
kalimantan-timur,Kalimantan Timur,batik-shaho,Batik Shaho,Shaho Batik,Batik Shaho diproduksi di Balikpapan sebagai batik bermotif lokal Kalimantan Timur.,Pelatihan dan Sosialisasi Alat Degradator Fotokatalitik Limbah Zat Pewarna Pusat Kerajinan Batik Shaho Balikpapan,Universitas Muhammadiyah Mataram (JMM),https://journal.ummat.ac.id/index.php/jmm/article/view/31626,2025-06-21,2026-09-04,https://web.disdikbud.kaltimprov.go.id/berita/detail/hari-batik-nasional-4Nxu1,verified,,,,,not_searched,
kalimantan-utara,Kalimantan Utara,batik-bultiya,Batik Bultiya,Bultiya Batik,"Artikel resmi Pemerintah Provinsi Kalimantan Utara menyebut Batik Bultiya memasukkan unsur budaya Bulungan, Tidung, dan Dayak.",Kerajinan Batik Kaltara Bakal Dipamerkan ke Istana,Diskominfo Kalimantan Utara,https://diskominfo.kaltaraprov.go.id/kerajinan-batik-kaltara-bakal-dipamerkan-ke-istana/,2022-08-20,2026-09-04,,verified,,,,,not_searched,
sulawesi-utara,Sulawesi Utara,batik-minahasa,Batik Minahasa,Minahasa Batik,Penelitian Universitas Sam Ratulangi mendokumentasikan industri kerajinan Batik Minahasa yang memproduksi kain dengan motif khas Minahasa.,Analisis Pengukuran Produktivitas... di Industri Kerajinan Kain Batik,Jurnal Tekno Mesin (UNSRAT),https://ejournal.unsrat.ac.id/v3/index.php/jtmu/article/view/55637,2024-06-03,2026-09-05,https://sidia.kemenperin.go.id/competency/tuk/index/264/0/13/125/data-competency,verified,,,,,not_searched,"Produksi batik motif Minahasa, bukan tenun Bentenan."
gorontalo,Gorontalo,batik-karawo,Batik Karawo Motif Dulohupa,Dulohupa Karawo Batik,"Penelitian oleh akademisi mendokumentasikan penciptaan Batik Karawo bermotif khas Gorontalo melalui pencantingan dengan malam, pewarnaan, pelorodan, dan penyulaman Karawo.",Proses Penciptaan Batik Karawo Motif Khas Gorontalo,Jurnal BAJU (Unesa),https://ejournal.unesa.ac.id/index.php/baju/article/view/67818,2025-12-18,2026-09-05,https://ejournal.unesa.ac.id/index.php/baju/article/download/67818/52992/188664,verified,,,,,not_searched,Kombinasi teknik batik (malam/canting) dan sulam Karawo.
sulawesi-tengah,Sulawesi Tengah,batik-bomba,Batik Bomba,Bomba Batik,"Penelitian lapangan UIN Datokarama mendokumentasikan produksi Batik Bomba di Kelurahan Kamonji, Kota Palu, dan menyebut Batik Bomba sebagai batik khas Kota Palu.",PRODUKSI BATIK BOMBA DI KOTA PALU,Jurnal UIN Datokarama,https://jurnal.uindatokarama.ac.id/index.php/jicd/article/download/1346/852/,,2026-09-05,https://palukota.go.id/wp-content/uploads/2021/04/SE-Penggunaan-Pakaian-Dinas-dan-Atribut-Bagi-ASN-di-Lingkungan-Pemerintah-Kota-Palu.pdf,verified,,,,,not_searched,Batik Bomba berbeda dengan Buya Bomba (Tenun Donggala).
sulawesi-barat,Sulawesi Barat,batik-sandeq,Batik Sandeq,Sandeq Batik,"Prosiding Seminar Nasional Industri Kerajinan dan Batik mendokumentasikan penerapan motif perahu Sandeq khas Mandar, Sulawesi Barat, menjadi batik tulis melalui pelilinan, pewarnaan, dan pelorodan.",Penerapan Motif Sandeq pada Batik,Prosiding SNBK,https://proceeding.batik.go.id/index.php/SNBK/article/view/204/139,,2026-09-05,https://www.indonesia.travel/id/id/travel-ideas/culture/batik-sandeq,verified,,,,,not_searched,"Batik tulis dengan motif lokal, bukan tenun Sekomandi atau Lipa Saqbe."
sulawesi-selatan,Sulawesi Selatan,batik-lontara,Batik Lontara,Lontara Batik,Kajian ilmiah dalam Jurnal Pakarena UNM mendokumentasikan Batik Lontara sebagai batik yang menggunakan aksara Lontara sebagai motif dan identitas budaya Bugis-Makassar.,Batik Lontara Sebuah Afirmasi Identitas dan Legitimasi Budaya Bugis-Makassar,Jurnal Pakarena (UNM),https://ojs.unm.ac.id/pakarena/article/view/13062,,2026-09-05,https://disbudpar.sulselprov.go.id/page/ekraf/detail/15/fesyen,verified,,,,,not_searched,"Batik dengan aksara Lontara, bukan sutra atau tenun Bugis-Makassar."
sulawesi-tenggara,Sulawesi Tenggara,batik-khas-kolaka-timur,Batik Khas Kolaka Timur Motif Sorume,East Kolaka Batik Sorume Motif,Pemerintah Kabupaten Kolaka Timur bersama Dekranasda menyelenggarakan sayembara Batik Khas Kolaka Timur pada 2022 dan menetapkan Sorume sebagai motif ikon untuk rancangan batik dan tenun daerah.,Pemda Sukses Gelar Sayembara Desain Tenun dan Batik Khas Koltim,Pemerintah Kabupaten Kolaka Timur,https://kolakatimurkab.go.id/detailpost/pemda-sukses-gelar-sayembara-desain-tenun-dan-batik-khas-koltim,2022-12-06,2026-09-05,,needs_review,,,,,not_searched,"Sumber membuktikan desain sayembara Batik modern, namun belum cukup bukti kuat tentang produksi item Batik tulis/cap."
maluku,Maluku,batik-kakehang,Batik Kakehang Maluku,Kakehang Maluku Batik,"B'Gaya Efie, UMKM Maluku, memproduksi Kain Batik Kakehang Maluku dengan teknik batik tulis, cap, dan kombinasi; kajian IMAJI mencatat Kakehan sebagai salah satu motif Batik Maluku.",KAIN BATIK KAKEHANG MALUKU,Karya Kreatif Indonesia (Bank Indonesia),https://www.karyakreatifindonesia.co.id/umkm/bgaya-efie/69624,,2026-09-05,https://journal.uny.ac.id/index.php/imaji/article/view/44285,verified,,,,,not_searched,"B'Gaya Efie merambah batik sejak 2011. KKI memakai ejaan “Kakehang”, sedangkan artikel IMAJI memakai “Kakehan”."
maluku-utara,Maluku Utara,batik-tubo,Batik Tubo,Tubo Batik,"Artikel UMMU membahas pengenalan pola Batik Tubo Kota Ternate; Liputan6 menyebut Batik Tubo sebagai batik asli Ternate, Maluku Utara, yang mulai dikembangkan pada 2009.",Penerapan Filter Gabor dan Backpropagasi untuk Pengenalan Batik Tubo,Universitas Muhammadiyah Maluku Utara (JSSH),https://jurnal.ummu.ac.id/index.php/jssh/article/view/1137,2022-06-24,2026-09-05,https://www.liputan6.com/regional/read/6055899/batik-tubo-salah-satu-batik-termuda-asli-ternate,verified,,,,,not_searched,"Liputan6 menjelaskan proses Batik Tubo sebagai batik cap: kain dicap dengan lilin malam, dicelup, kemudian direbus untuk melepas lilin."
papua,Papua,batik-port-numbay,Batik Port Numbay,Port Numbay Batik,"Studi mendokumentasikan usaha Batik Port Numbay. Pemerintah Provinsi Papua mencatat industri Jimmy Afar Port Numbay di Kotaraja, Jayapura, menghasilkan batik tulis dan cap.",Analisis Kelayakan Ekonomi dan Finansial Usaha Batik Papua: Studi Kasus pada Perusahaan Batik Port Numbay Papua,Jurnal JMTT (Unair),https://doi.org/10.20473/jmtt.v7i1.2686,,2026-09-05,https://www.papua.go.id/view-detail-berita-2553/blog-details.html,verified,,,,,not_searched,Situs eprints.ipdn.ac.id tidak digunakan karena kegagalan verifikasi sertifikat SSL/TLS. Klaim dibatasi pada wilayah Kota Jayapura (Papua).
papua-barat,Papua Barat,batik-rumah-kaki-seribu,Batik Tulis Motif Rumah Kaki Seribu,Rumah Kaki Seribu Motif Batik,"UMKM di Manokwari, Papua Barat memproduksi kain batik tulis kontemporer dengan motif lokal seperti Rumah Kaki Seribu.",UMKM Kasuari Batik Manokwari,Karya Kreatif Indonesia (BI),https://www.karyakreatifindonesia.co.id/umkm/kasuari-batik/41680,,2026-09-05,https://diskominfoperstatik.papuabaratprov.go.id/berita/pj.-gubernur-abt-membuka-lomba-fashion-show-busana-batik-papua-barat-dan-mengajak-untuk-mengembangkan-akulturasi-budaya,verified,,,,,not_searched,"Kandidat merupakan produk batik tulis kontemporer, bukan warisan membatik tradisional suku lokal."
papua-selatan,Papua Selatan,batik-kondo-ndaman,Batik Kondo Ndaman,Kondo Ndaman Batik,"Entri pendaftaran merek dagang Batik Kondo Ndaman membuktikan inisiatif merek batik yang berbasis di Kabupaten Merauke, Provinsi Papua Selatan.",Berita Resmi Merek (DJKI),Direktorat Jenderal Kekayaan Intelektual,https://www.dgip.go.id/uploads/berita_resmi/file/7d8b40a163e3595095ee58ccee58d6c7.pdf,,2026-09-05,https://peraturan.bpk.go.id/Details/217796/uu-no-14-tahun-2022,needs_review,,,,,not_searched,"Sumber DJKI merespons HTTP 403 (Forbidden) pada akses otomatis. Merek pendaftar berlokasi di Merauke, namun bukti belum secara rinci mengonfirmasi teknik Batik rintang malam (bukan printing)."
papua-tengah,Papua Tengah,batik-kamoro,Batik Kamoro,Kamoro Batik,Pemerintah Kabupaten Mimika mempromosikan produk kain dengan motif khas budaya Suku Kamoro (Papua Tengah) dalam pameran UMKM.,"Mimika Kembali Unjuk Produk Unggulan di AOE 2026, Targetkan Prestasi dan Perluas Pasar UMKM",Diskominfo Mimika,https://diskominfo.mimikakab.go.id/berita/mimika-kembali-unjuk-produk-unggulan-di-aoe-2026-targetkan-prestasi-dan-perluas-pasar-umkm,2026-08-28,2026-09-05,https://ditjenpen.kemendag.go.id/storage/publikasi/547-2151392695181.pdf,needs_review,,,,,not_searched,"Sumber hanya menyebutkan produk pakaian bermotif Kamoro; belum ada konfirmasi eksplisit apakah dibuat dengan teknik batik tradisional, cap, atau hanya printing kain."
papua-pegunungan,Papua Pegunungan,batik-agamua,Batik Agamua,Agamua Batik,Pemerintah Kabupaten Jayawijaya mendokumentasikan perajin Agamua yang selama dua tahun menekuni kain bermotif batik printing; pada Januari 2025 perajin tersebut mengikuti pelatihan batik cap dan tulis.,PKK Jayawijaya Beri Pelatihan Membatik Bagi Pengrajin Batik Agamua,Pemerintah Kabupaten Jayawijaya,https://www.jayawijayakab.go.id/berita/1424/2025-01-21/pkk-jayawijaya-beri-pelatihan-membatik-bagi-pengrajin-batik-agamua,2025-01-21,2026-09-05,https://ikm.kemenperin.go.id/kemenperin-dongkrak-potensi-industri-olahan-pangan-hingga-logam-di-jayawijaya,needs_review,,,,,not_searched,"Sumber mendokumentasikan seorang perajin/UMKM Agamua yang selama dua tahun membuat kain bermotif batik printing. Teknik batik cap dan tulis baru dipelajari melalui pelatihan Januari 2025, sehingga kandidat tetap needs_review."
papua-barat-daya,Papua Barat Daya,batik-raja-ampat,Batik Raja Ampat,Raja Ampat Batik,Program pelatihan tahun 2014 dan kajian akademik mendukung pengembangan keterampilan Batik Raja Ampat.,"Kembangkan Batik Raja Ampat Papua, Pelatihan Teknologi Batik di BBKB",Balai Besar Kerajinan dan Batik (Kemenperin),https://bbkb.kemenperin.go.id/index.php/post/read/_kembangkan_batik_raja_ampat_papua_wamen_pendidikan_dan_kebudayaan_bidang_kebudayaan_buka_pelatihan_teknologi_batik_di__bbkb_yogyakarta__0,,2026-09-05,https://jurnal.uns.ac.id/texfile/article/view/33196,verified,,,,,not_searched,"Pemetaan ke Papua Barat Daya menggunakan wilayah Raja Ampat setelah pemekaran, berdasarkan UU No 29 Tahun 2022 (https://peraturan.bpk.go.id/Details/232726/uu-no-29-tahun-2022)."
