province_id,field,source_title,source_owner,source_url,source_published_at,accessed_at,claim_supported,notes
dki-jakarta,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
jawa-barat,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
jawa-tengah,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
di-yogyakarta,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
jawa-timur,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
banten,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
bali,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
nusa-tenggara-barat,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
nusa-tenggara-timur,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
kalimantan-barat,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
kalimantan-tengah,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
kalimantan-selatan,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
kalimantan-timur,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
kalimantan-utara,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
sulawesi-utara,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
sulawesi-tengah,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
sulawesi-selatan,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
sulawesi-tenggara,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
gorontalo,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
sulawesi-barat,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
maluku,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
maluku-utara,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
papua,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
papua-barat,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
papua-selatan,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
papua-tengah,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
papua-pegunungan,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
papua-barat-daya,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
